session_id,archetype,source_group,returned
Human_Astro::conversation_418962_1436.csv::s15,archetype_4,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s14,archetype_6,baseline_returned,True
Human_Astro::conversation_3761643_2353.csv::s14,archetype_4,baseline_returned,True
Human_Astro::conversation_3258729_2041.csv::s15,archetype_6,baseline_returned,True
Human_Astro::conversation_3217935_1737.csv::s7,archetype_4,baseline_returned,True
Human_Astro::conversation_418962_1436.csv::s13,archetype_4,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s12,archetype_4,baseline_returned,True
Human_Astro::conversation_3607008_1041.csv::s9,archetype_4,baseline_returned,True
Sitara-2::conversation_5233496_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3308505_2019.csv::s16,archetype_4,baseline_returned,True
Sitara-1::conversation_3078083_4336.csv::s1,archetype_4,Sitara-1,True
Sitara-1::conversation_3662855_4336.csv::s1,archetype_4,Sitara-1,False
Human_Astro::conversation_3079187_926.csv::s9,archetype_4,baseline_returned,True
Human_Astro::conversation_3607008_1041.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s20,archetype_4,baseline_returned,True
Human_Astro::conversation_1378119_1270.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_3233283_1873.csv::s10,archetype_4,baseline_returned,True
Sitara-1::conversation_905636_4336.csv::s2,archetype_2,Sitara-1,True
Human_Single::conversation_656390_1004.csv::s4,archetype_1,unknown,
Human_Astro::conversation_3355731_1117.csv::s6,archetype_1,baseline_returned,True
Human_Astro::conversation_3428129_1844.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_3283278_321.csv::s8,archetype_4,baseline_returned,True
Sitara-1::conversation_3151823_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3540611_1747.csv::s15,archetype_6,baseline_returned,True
Human_Astro::conversation_3753418_2788.csv::s7,archetype_4,baseline_returned,True
Human_Astro::conversation_2850603_1238.csv::s14,archetype_4,baseline_returned,True
Human_Astro::conversation_2850603_1238.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3428988_546.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_1378119_1270.csv::s11,archetype_4,baseline_returned,True
Sitara-2::conversation_5169327_4336.csv::s1,archetype_4,Sitara-2,False
Human_Single::conversation_915999_60.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_3100018_2041.csv::s7,archetype_4,baseline_returned,True
Sitara-2::conversation_5268908_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3233283_1873.csv::s4,archetype_5,baseline_returned,True
Human_Astro::conversation_3460845_3788.csv::s2,archetype_4,baseline_returned,True
Sitara-1::conversation_905636_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3165061_2487.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_2850603_1238.csv::s12,archetype_2,baseline_returned,True
Human_Astro::conversation_3761643_2353.csv::s19,archetype_2,baseline_returned,True
Human_Astro::conversation_1338879_1953.csv::s14,archetype_4,baseline_returned,True
Sitara-1::conversation_3541968_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3355731_1117.csv::s9,archetype_4,baseline_returned,True
Human_Astro::conversation_2678448_3177.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_2221141_168.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_3547075_658.csv::s7,archetype_4,baseline_returned,True
Sitara-2::conversation_5210027_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3137279_2041.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_1378119_1270.csv::s5,archetype_6,baseline_returned,True
Human_Astro::conversation_3428988_546.csv::s4,archetype_4,baseline_returned,True
Human_Astro::conversation_3137279_2041.csv::s1,archetype_6,baseline_returned,True
Sitara-2::conversation_5246045_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-2::conversation_5258219_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3089486_1765.csv::s11,archetype_4,baseline_returned,True
Sitara-2::conversation_3160815_4336.csv::s1,archetype_4,Sitara-2,False
Human_Single::conversation_922772_1004.csv::s3,archetype_1,baseline_returned,True
Sitara-2::conversation_1879424_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3547075_658.csv::s9,archetype_4,baseline_returned,True
Sitara-2::conversation_5230182_4336.csv::s2,archetype_5,Sitara-2,True
Sitara-1::conversation_3629097_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3428129_1844.csv::s20,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s21,archetype_4,baseline_returned,True
Human_Astro::conversation_1680677_1931.csv::s2,archetype_4,baseline_returned,True
Sitara-2::conversation_3413532_4336.csv::s1,archetype_4,Sitara-2,True
Human_Astro::conversation_3308505_2019.csv::s15,archetype_4,baseline_returned,True
Human_Astro::conversation_3712530_4320.csv::s9,archetype_6,baseline_returned,True
Human_Astro::conversation_3712530_4320.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s1,archetype_6,baseline_returned,True
Human_Astro::conversation_3428988_546.csv::s5,archetype_6,baseline_returned,True
Human_Astro::conversation_3308505_4010.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_2221141_168.csv::s4,archetype_4,baseline_returned,True
Human_Astro::conversation_2946836_3183.csv::s7,archetype_1,baseline_returned,True
Sitara-2::conversation_5162157_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-2::conversation_5274718_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-1::conversation_2586574_4336.csv::s2,archetype_4,Sitara-1,True
Sitara-2::conversation_5196863_4336.csv::s1,archetype_4,Sitara-2,False
Human_Single::conversation_1444546_752.csv::s1,archetype_1,baseline_not_returned,False
Human_Astro::conversation_3761643_2353.csv::s21,archetype_4,baseline_returned,True
Human_Astro::conversation_3137279_2041.csv::s8,archetype_2,baseline_returned,True
Human_Single::conversation_922772_1004.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_2850603_1238.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3292393_4042.csv::s4,archetype_4,baseline_returned,True
Human_Single::conversation_924427_1283.csv::s3,archetype_1,baseline_returned,True
Sitara-1::conversation_3078083_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3684647_765.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3753418_2788.csv::s3,archetype_2,baseline_returned,True
Human_Single::conversation_1058261_2236.csv::s1,archetype_1,baseline_not_returned,False
Human_Astro::conversation_2850603_1238.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_3540611_1747.csv::s4,archetype_4,baseline_returned,True
Human_Astro::conversation_3371122_1117.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_1378119_1270.csv::s13,archetype_4,baseline_returned,True
Human_Astro::conversation_3475164_2462.csv::s1,archetype_2,baseline_returned,True
Sitara-1::conversation_3608753_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_418962_1436.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_1851096_2048.csv::s5,archetype_6,baseline_returned,True
Human_Astro::conversation_418962_1436.csv::s6,archetype_6,baseline_returned,True
