,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.06666666666666667,0.009523809523809525,0.0761904761904762,0.047619047619047616,0.6095238095238096,0.009523809523809525,0.0,0.009523809523809525,0.0,0.08571428571428572
user_disengaging,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.0,0.037037037037037035,0.0,0.6666666666666666,0.07407407407407407,0.0,0.0,0.037037037037037035,0.07407407407407407
user_emotional_disclosure,0.0,0.0,0.08888888888888889,0.044444444444444446,0.03888888888888889,0.016666666666666666,0.06111111111111111,0.044444444444444446,0.3888888888888889,0.08888888888888889,0.06111111111111111,0.0,0.016666666666666666,0.15
user_enthusiastic,0.010416666666666666,0.0,0.006944444444444444,0.10069444444444445,0.06597222222222222,0.003472222222222222,0.10069444444444445,0.06597222222222222,0.4791666666666667,0.010416666666666666,0.0,0.0,0.020833333333333332,0.13541666666666666
user_neutral_factual,0.012437810945273632,0.0,0.017412935323383085,0.04477611940298507,0.08706467661691543,0.014925373134328358,0.03731343283582089,0.09701492537313433,0.3855721393034826,0.04477611940298507,0.017412935323383085,0.0,0.014925373134328358,0.2263681592039801
user_neutral,0.006944444444444444,0.0,0.027777777777777776,0.006944444444444444,0.08333333333333333,0.0763888888888889,0.0763888888888889,0.1527777777777778,0.2847222222222222,0.013888888888888888,0.0,0.0,0.006944444444444444,0.2638888888888889
astro_dated_prediction,0.09090909090909091,0.045454545454545456,0.1590909090909091,0.10227272727272728,0.29545454545454547,0.09090909090909091,0.022727272727272728,0.011363636363636364,0.11363636363636363,0.022727272727272728,0.0,0.0,0.0,0.045454545454545456
astro_callback_prior,0.06956521739130435,0.008695652173913044,0.06956521739130435,0.1565217391304348,0.3652173913043478,0.06086956521739131,0.017391304347826087,0.0782608695652174,0.08695652173913043,0.0,0.0,0.0,0.0,0.08695652173913043
astro_callback_within,0.09466437177280551,0.03442340791738382,0.10499139414802065,0.21686746987951808,0.24784853700516352,0.055077452667814115,0.012048192771084338,0.020654044750430294,0.13080895008605853,0.008605851979345954,0.0,0.0,0.0034423407917383822,0.07056798623063683
astro_reframe,0.019230769230769232,0.0,0.21153846153846154,0.25,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.09615384615384616
astro_validation,0.07407407407407407,0.0,0.18518518518518517,0.037037037037037035,0.37037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.1111111111111111,0.0,0.0,0.14814814814814814
astro_self_correction,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astro_open_thread,0.14285714285714285,0.0,0.23809523809523808,0.3333333333333333,0.19047619047619047,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
astro_other,0.05228758169934641,0.006535947712418301,0.13725490196078433,0.17647058823529413,0.28431372549019607,0.07516339869281045,0.0032679738562091504,0.006535947712418301,0.058823529411764705,0.013071895424836602,0.016339869281045753,0.0,0.013071895424836602,0.1568627450980392
