,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,0.3076923076923077,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693
user_disengaging,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
user_emotional_disclosure,0.0,0.022727272727272728,0.13636363636363635,0.0,0.0,0.045454545454545456,0.0,0.0,0.45454545454545453,0.0,0.022727272727272728,0.0,0.0,0.3181818181818182
user_enthusiastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
user_neutral_factual,0.012048192771084338,0.012048192771084338,0.05421686746987952,0.006024096385542169,0.3313253012048193,0.0783132530120482,0.018072289156626505,0.0,0.2289156626506024,0.0,0.0,0.0,0.012048192771084338,0.2469879518072289
user_neutral,0.0,0.0,0.07462686567164178,0.0,0.07462686567164178,0.13432835820895522,0.014925373134328358,0.014925373134328358,0.23880597014925373,0.0,0.0,0.0,0.0,0.44776119402985076
astro_dated_prediction,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2
astro_callback_prior,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
astro_callback_within,0.027777777777777776,0.006944444444444444,0.11805555555555555,0.006944444444444444,0.3125,0.05555555555555555,0.013888888888888888,0.0,0.3472222222222222,0.006944444444444444,0.0,0.0,0.006944444444444444,0.09722222222222222
astro_reframe,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.375
astro_validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
astro_self_correction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astro_open_thread,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
astro_other,0.015957446808510637,0.015957446808510637,0.03723404255319149,0.010638297872340425,0.30319148936170215,0.0797872340425532,0.010638297872340425,0.0,0.0851063829787234,0.026595744680851064,0.0,0.0,0.0,0.4148936170212766
