,user_pushback,user_disengaging,user_emotional_disclosure,user_enthusiastic,user_neutral_factual,user_neutral,astro_dated_prediction,astro_callback_prior,astro_callback_within,astro_reframe,astro_validation,astro_self_correction,astro_open_thread,astro_other
user_pushback,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
user_disengaging,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
user_emotional_disclosure,0.0,0.037037037037037035,0.1111111111111111,0.0,0.0,0.07407407407407407,0.0,0.0,0.37037037037037035,0.0,0.0,0.0,0.0,0.4074074074074074
user_enthusiastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
user_neutral_factual,0.0,0.0,0.10638297872340426,0.02127659574468085,0.19148936170212766,0.1702127659574468,0.02127659574468085,0.0,0.2553191489361702,0.0,0.0,0.0,0.0,0.23404255319148937
user_neutral,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.11904761904761904,0.0,0.023809523809523808,0.3333333333333333,0.0,0.0,0.0,0.0,0.38095238095238093
astro_dated_prediction,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
astro_callback_prior,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
astro_callback_within,0.05263157894736842,0.013157894736842105,0.14473684210526316,0.0,0.18421052631578946,0.07894736842105263,0.013157894736842105,0.0,0.3815789473684211,0.013157894736842105,0.0,0.0,0.013157894736842105,0.10526315789473684
astro_reframe,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
astro_validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astro_self_correction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astro_open_thread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
astro_other,0.013157894736842105,0.02631578947368421,0.06578947368421052,0.013157894736842105,0.23684210526315788,0.14473684210526316,0.0,0.0,0.10526315789473684,0.013157894736842105,0.0,0.0,0.0,0.3815789473684211
