from,to,frequency
astro_callback_within,astro_callback_within,458
astro_callback_within,astro_dated_prediction,42
astro_callback_within,astro_other,143
astro_callback_within,astro_reframe,26
astro_callback_within,astro_validation,6
astro_callback_within,user_emotional_disclosure,339
astro_callback_within,user_enthusiastic,310
astro_callback_within,user_neutral,244
astro_callback_within,user_neutral_factual,545
astro_callback_within,user_pushback,137
astro_dated_prediction,astro_callback_within,42
astro_dated_prediction,astro_dated_prediction,12
astro_dated_prediction,astro_other,28
astro_dated_prediction,astro_reframe,5
astro_dated_prediction,astro_validation,2
astro_dated_prediction,user_emotional_disclosure,42
astro_dated_prediction,user_enthusiastic,57
astro_dated_prediction,user_neutral,47
astro_dated_prediction,user_neutral_factual,66
astro_dated_prediction,user_pushback,31
astro_other,astro_callback_within,89
astro_other,astro_dated_prediction,22
astro_other,astro_other,150
astro_other,astro_reframe,11
astro_other,astro_validation,11
astro_other,user_emotional_disclosure,161
astro_other,user_enthusiastic,150
astro_other,user_neutral,127
astro_other,user_neutral_factual,323
astro_other,user_pushback,49
astro_reframe,astro_callback_within,10
astro_reframe,astro_dated_prediction,5
astro_reframe,astro_other,16
astro_reframe,astro_reframe,5
astro_reframe,astro_validation,5
astro_reframe,user_emotional_disclosure,28
astro_reframe,user_enthusiastic,34
astro_reframe,user_neutral,24
astro_reframe,user_neutral_factual,29
astro_reframe,user_pushback,6
astro_validation,astro_callback_within,5
astro_validation,astro_dated_prediction,3
astro_validation,astro_other,30
astro_validation,astro_reframe,5
astro_validation,astro_validation,16
astro_validation,user_emotional_disclosure,32
astro_validation,user_enthusiastic,3
astro_validation,user_neutral,6
astro_validation,user_neutral_factual,36
astro_validation,user_pushback,3
user_emotional_disclosure,astro_callback_within,392
user_emotional_disclosure,astro_dated_prediction,42
user_emotional_disclosure,astro_other,84
user_emotional_disclosure,astro_reframe,37
user_emotional_disclosure,astro_validation,63
user_emotional_disclosure,user_emotional_disclosure,83
user_emotional_disclosure,user_enthusiastic,20
user_emotional_disclosure,user_neutral,16
user_emotional_disclosure,user_neutral_factual,37
user_emotional_disclosure,user_pushback,7
user_enthusiastic,astro_callback_within,333
user_enthusiastic,astro_dated_prediction,79
user_enthusiastic,astro_other,124
user_enthusiastic,astro_reframe,24
user_enthusiastic,astro_validation,3
user_enthusiastic,user_emotional_disclosure,15
user_enthusiastic,user_enthusiastic,87
user_enthusiastic,user_neutral,11
user_enthusiastic,user_neutral_factual,34
user_enthusiastic,user_pushback,7
user_neutral,astro_callback_within,288
user_neutral,astro_dated_prediction,63
user_neutral,astro_other,195
user_neutral,astro_reframe,9
user_neutral,astro_validation,2
user_neutral,user_emotional_disclosure,21
user_neutral,user_enthusiastic,12
user_neutral,user_neutral,69
user_neutral,user_neutral_factual,57
user_neutral,user_pushback,13
user_neutral_factual,astro_callback_within,542
user_neutral_factual,astro_dated_prediction,52
user_neutral_factual,astro_other,316
user_neutral_factual,astro_reframe,47
user_neutral_factual,astro_validation,33
user_neutral_factual,user_emotional_disclosure,51
user_neutral_factual,user_enthusiastic,44
user_neutral_factual,user_neutral,43
user_neutral_factual,user_neutral_factual,158
user_neutral_factual,user_pushback,18
user_pushback,astro_callback_within,165
user_pushback,astro_dated_prediction,24
user_pushback,astro_other,36
user_pushback,astro_reframe,6
user_pushback,astro_validation,2
user_pushback,user_emotional_disclosure,9
user_pushback,user_enthusiastic,6
user_pushback,user_neutral,6
user_pushback,user_neutral_factual,17
user_pushback,user_pushback,21
