from,to,frequency
astro_callback_within,astro_callback_within,50
astro_callback_within,astro_dated_prediction,2
astro_callback_within,astro_other,15
astro_callback_within,astro_reframe,1
astro_callback_within,user_disengaging,1
astro_callback_within,user_emotional_disclosure,17
astro_callback_within,user_enthusiastic,1
astro_callback_within,user_neutral,8
astro_callback_within,user_neutral_factual,45
astro_callback_within,user_pushback,4
astro_dated_prediction,astro_callback_within,5
astro_dated_prediction,astro_other,2
astro_dated_prediction,user_emotional_disclosure,2
astro_dated_prediction,user_neutral,1
astro_other,astro_callback_within,16
astro_other,astro_dated_prediction,2
astro_other,astro_other,78
astro_other,astro_reframe,5
astro_other,user_disengaging,3
astro_other,user_emotional_disclosure,7
astro_other,user_enthusiastic,2
astro_other,user_neutral,15
astro_other,user_neutral_factual,57
astro_other,user_pushback,3
astro_reframe,astro_other,3
astro_reframe,astro_reframe,3
astro_reframe,user_disengaging,1
astro_reframe,user_neutral_factual,1
user_disengaging,astro_other,2
user_disengaging,user_neutral,1
user_disengaging,user_neutral_factual,2
user_emotional_disclosure,astro_callback_within,20
user_emotional_disclosure,astro_other,15
user_emotional_disclosure,user_disengaging,1
user_emotional_disclosure,user_emotional_disclosure,6
user_emotional_disclosure,user_neutral,2
user_enthusiastic,astro_callback_within,2
user_enthusiastic,astro_other,1
user_neutral,astro_callback_within,16
user_neutral,astro_dated_prediction,1
user_neutral,astro_other,30
user_neutral,user_emotional_disclosure,5
user_neutral,user_neutral,9
user_neutral,user_neutral_factual,6
user_neutral_factual,astro_callback_within,38
user_neutral_factual,astro_dated_prediction,3
user_neutral_factual,astro_other,41
user_neutral_factual,user_disengaging,2
user_neutral_factual,user_emotional_disclosure,9
user_neutral_factual,user_enthusiastic,1
user_neutral_factual,user_neutral,13
user_neutral_factual,user_neutral_factual,56
user_neutral_factual,user_pushback,2
user_pushback,astro_callback_within,2
user_pushback,astro_dated_prediction,3
user_pushback,astro_other,1
user_pushback,user_emotional_disclosure,1
user_pushback,user_neutral_factual,2
user_pushback,user_pushback,4
