from,to,frequency
astro_callback_prior,astro_callback_prior,144
astro_callback_prior,astro_callback_within,87
astro_callback_prior,astro_dated_prediction,23
astro_callback_prior,astro_other,132
astro_callback_prior,astro_reframe,20
astro_callback_prior,user_emotional_disclosure,80
astro_callback_prior,user_enthusiastic,28
astro_callback_prior,user_neutral,41
astro_callback_prior,user_neutral_factual,254
astro_callback_prior,user_pushback,40
astro_callback_within,astro_callback_prior,76
astro_callback_within,astro_callback_within,1988
astro_callback_within,astro_dated_prediction,197
astro_callback_within,astro_other,898
astro_callback_within,astro_reframe,91
astro_callback_within,user_emotional_disclosure,632
astro_callback_within,user_enthusiastic,204
astro_callback_within,user_neutral,329
astro_callback_within,user_neutral_factual,1738
astro_callback_within,user_pushback,249
astro_dated_prediction,astro_callback_prior,22
astro_dated_prediction,astro_callback_within,137
astro_dated_prediction,astro_dated_prediction,104
astro_dated_prediction,astro_other,197
astro_dated_prediction,astro_reframe,20
astro_dated_prediction,user_emotional_disclosure,79
astro_dated_prediction,user_enthusiastic,43
astro_dated_prediction,user_neutral,68
astro_dated_prediction,user_neutral_factual,263
astro_dated_prediction,user_pushback,52
astro_other,astro_callback_prior,142
astro_other,astro_callback_within,906
astro_other,astro_dated_prediction,148
astro_other,astro_other,3384
astro_other,astro_reframe,176
astro_other,user_emotional_disclosure,867
astro_other,user_enthusiastic,267
astro_other,user_neutral,528
astro_other,user_neutral_factual,2774
astro_other,user_pushback,255
astro_reframe,astro_callback_prior,13
astro_reframe,astro_callback_within,81
astro_reframe,astro_dated_prediction,25
astro_reframe,astro_other,142
astro_reframe,astro_reframe,138
astro_reframe,user_emotional_disclosure,120
astro_reframe,user_enthusiastic,39
astro_reframe,user_neutral,46
astro_reframe,user_neutral_factual,160
astro_reframe,user_pushback,48
user_emotional_disclosure,astro_callback_prior,86
user_emotional_disclosure,astro_callback_within,770
user_emotional_disclosure,astro_dated_prediction,80
user_emotional_disclosure,astro_other,882
user_emotional_disclosure,astro_reframe,163
user_emotional_disclosure,user_emotional_disclosure,891
user_emotional_disclosure,user_enthusiastic,30
user_emotional_disclosure,user_neutral,124
user_emotional_disclosure,user_neutral_factual,364
user_emotional_disclosure,user_pushback,54
user_enthusiastic,astro_callback_prior,29
user_enthusiastic,astro_callback_within,234
user_enthusiastic,astro_dated_prediction,51
user_enthusiastic,astro_other,269
user_enthusiastic,astro_reframe,36
user_enthusiastic,user_emotional_disclosure,53
user_enthusiastic,user_enthusiastic,107
user_enthusiastic,user_neutral,34
user_enthusiastic,user_neutral_factual,80
user_enthusiastic,user_pushback,4
user_neutral,astro_callback_prior,87
user_neutral,astro_callback_within,413
user_neutral,astro_dated_prediction,97
user_neutral,astro_other,796
user_neutral,astro_reframe,38
user_neutral,user_emotional_disclosure,150
user_neutral,user_enthusiastic,22
user_neutral,user_neutral,478
user_neutral,user_neutral_factual,369
user_neutral,user_pushback,34
user_neutral_factual,astro_callback_prior,214
user_neutral_factual,astro_callback_within,1644
user_neutral_factual,astro_dated_prediction,260
user_neutral_factual,astro_other,2689
user_neutral_factual,astro_reframe,115
user_neutral_factual,user_emotional_disclosure,506
user_neutral_factual,user_enthusiastic,175
user_neutral_factual,user_neutral,270
user_neutral_factual,user_neutral_factual,2011
user_neutral_factual,user_pushback,91
user_pushback,astro_callback_prior,38
user_pushback,astro_callback_within,285
user_pushback,astro_dated_prediction,31
user_pushback,astro_other,207
user_pushback,astro_reframe,35
user_pushback,user_emotional_disclosure,93
user_pushback,user_enthusiastic,10
user_pushback,user_neutral,34
user_pushback,user_neutral_factual,81
user_pushback,user_pushback,182
