session_id,source_group,arc_cluster,returned
Human_Astro::conversation_1338879_1953.csv::s1,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s10,baseline_returned,0,True
Human_Astro::conversation_1338879_1953.csv::s11,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s12,baseline_returned,2,True
Human_Astro::conversation_1338879_1953.csv::s13,baseline_returned,2,True
Human_Astro::conversation_1338879_1953.csv::s14,baseline_returned,0,True
Human_Astro::conversation_1338879_1953.csv::s15,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s16,baseline_returned,2,True
Human_Astro::conversation_1338879_1953.csv::s2,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s3,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s4,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s6,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s7,baseline_returned,1,True
Human_Astro::conversation_1338879_1953.csv::s8,baseline_returned,0,True
Human_Astro::conversation_1338879_1953.csv::s9,baseline_returned,1,True
Human_Astro::conversation_1378119_1270.csv::s1,baseline_returned,2,True
Human_Astro::conversation_1378119_1270.csv::s10,baseline_returned,1,True
Human_Astro::conversation_1378119_1270.csv::s11,baseline_returned,0,True
Human_Astro::conversation_1378119_1270.csv::s12,baseline_returned,1,True
Human_Astro::conversation_1378119_1270.csv::s13,baseline_returned,2,True
Human_Astro::conversation_1378119_1270.csv::s2,baseline_returned,1,True
Human_Astro::conversation_1378119_1270.csv::s3,baseline_returned,2,True
Human_Astro::conversation_1378119_1270.csv::s4,baseline_returned,0,True
Human_Astro::conversation_1378119_1270.csv::s5,baseline_returned,0,True
Human_Astro::conversation_1378119_1270.csv::s6,baseline_returned,1,True
Human_Astro::conversation_1378119_1270.csv::s7,baseline_returned,1,True
Human_Astro::conversation_1378119_1270.csv::s8,baseline_returned,0,True
Human_Astro::conversation_1378119_1270.csv::s9,baseline_returned,3,True
Human_Astro::conversation_1520760_2925.csv::s1,baseline_returned,1,True
Human_Astro::conversation_1520760_2925.csv::s10,baseline_returned,1,True
Human_Astro::conversation_1520760_2925.csv::s2,baseline_returned,2,True
Human_Astro::conversation_1520760_2925.csv::s3,baseline_returned,1,True
Human_Astro::conversation_1520760_2925.csv::s4,baseline_returned,2,True
Human_Astro::conversation_1520760_2925.csv::s5,baseline_returned,2,True
Human_Astro::conversation_1520760_2925.csv::s6,baseline_returned,2,True
Human_Astro::conversation_1520760_2925.csv::s7,baseline_returned,2,True
Human_Astro::conversation_1520760_2925.csv::s8,baseline_returned,0,True
Human_Astro::conversation_1520760_2925.csv::s9,baseline_returned,0,True
Human_Astro::conversation_1680677_1931.csv::s1,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s10,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s11,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s12,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s13,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s2,baseline_returned,2,True
Human_Astro::conversation_1680677_1931.csv::s3,baseline_returned,3,True
Human_Astro::conversation_1680677_1931.csv::s4,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s5,baseline_returned,3,True
Human_Astro::conversation_1680677_1931.csv::s6,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s7,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s8,baseline_returned,1,True
Human_Astro::conversation_1680677_1931.csv::s9,baseline_returned,1,True
Human_Astro::conversation_1851096_2048.csv::s1,baseline_returned,1,True
Human_Astro::conversation_1851096_2048.csv::s10,baseline_returned,2,True
Human_Astro::conversation_1851096_2048.csv::s2,baseline_returned,1,True
Human_Astro::conversation_1851096_2048.csv::s3,baseline_returned,0,True
Human_Astro::conversation_1851096_2048.csv::s4,baseline_returned,2,True
Human_Astro::conversation_1851096_2048.csv::s5,baseline_returned,1,True
Human_Astro::conversation_1851096_2048.csv::s6,baseline_returned,3,True
