pattern,support,support_frac,length
user_neutral -> astro_callback_prior,1,1.0,2
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior,1,1.0,25
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other,1,1.0,27
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe,1,1.0,28
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure,1,1.0,29
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior,1,1.0,30
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> user_emotional_disclosure,1,1.0,31
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> user_emotional_disclosure -> astro_dated_prediction,1,1.0,32
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> user_emotional_disclosure -> astro_dated_prediction -> astro_callback_prior,1,1.0,33
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> user_emotional_disclosure -> astro_dated_prediction -> astro_callback_prior -> user_emotional_disclosure,1,1.0,34
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> user_emotional_disclosure -> astro_dated_prediction -> astro_callback_prior -> user_emotional_disclosure -> astro_callback_prior,1,1.0,35
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> user_emotional_disclosure -> astro_dated_prediction -> astro_callback_prior -> user_emotional_disclosure -> astro_callback_prior -> astro_dated_prediction,1,1.0,36
user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> user_neutral -> astro_dated_prediction -> astro_dated_prediction -> user_neutral -> astro_callback_prior -> astro_dated_prediction -> user_pushback -> astro_dated_prediction -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_other -> user_neutral -> astro_dated_prediction -> user_emotional_disclosure -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> astro_callback_prior -> user_emotional_disclosure -> astro_other -> astro_reframe -> user_emotional_disclosure -> astro_callback_prior -> user_emotional_disclosure -> astro_dated_prediction -> astro_callback_prior -> user_emotional_disclosure -> astro_callback_prior -> astro_other,1,1.0,36
