session_id,n_turns,disengage_duration,disengage_event,positive_duration,positive_event,concrete_dated_prediction,specific_open_thread_named,callback_prior_session,callback_within_session,validation,self_correction,reframe
Sitara-1::conversation_1253527_4336.csv::s1,62,62,0,21,1,0.058823529411764705,0.20588235294117646,0.0,0.7352941176470589,0.14705882352941177,0.0,0.29411764705882354
Sitara-1::conversation_1253527_4336.csv::s2,12,12,1,12,0,0.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0
Sitara-1::conversation_135007_4336.csv::s1,91,17,1,91,0,0.06382978723404255,0.0425531914893617,0.0,0.5319148936170213,0.06382978723404255,0.0,0.2127659574468085
Sitara-1::conversation_1802400_4336.csv::s1,33,33,0,33,0,0.16666666666666666,0.0,0.0,0.4444444444444444,0.05555555555555555,0.0,0.2777777777777778
Sitara-1::conversation_1802400_4336.csv::s2,36,36,1,36,0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333
Sitara-1::conversation_182120_4336.csv::s1,114,114,0,86,1,0.140625,0.0,0.0,0.09375,0.0,0.015625,0.09375
Sitara-1::conversation_182120_4336.csv::s2,35,14,1,35,0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.10526315789473684,0.0,0.21052631578947367
Sitara-1::conversation_182120_4336.csv::s3,24,7,1,24,0,0.08333333333333333,0.25,0.08333333333333333,0.4166666666666667,0.0,0.0,0.0
Sitara-1::conversation_182120_4336.csv::s4,19,17,1,19,0,0.2,0.0,0.2,0.5,0.0,0.0,0.0
Sitara-1::conversation_2139311_4336.csv::s1,180,148,1,124,1,0.07608695652173914,0.043478260869565216,0.0,0.9130434782608695,0.18478260869565216,0.0,0.5543478260869565
Sitara-1::conversation_2586574_4336.csv::s1,34,34,1,10,1,0.1,0.0,0.0,0.8,0.05,0.0,0.15
Sitara-1::conversation_2586574_4336.csv::s2,31,31,1,3,1,0.0,0.0625,0.125,0.75,0.375,0.0625,0.1875
Sitara-1::conversation_2682414_4336.csv::s1,30,30,0,11,1,0.2,0.0,0.0,0.8666666666666667,0.26666666666666666,0.0,0.26666666666666666
Sitara-1::conversation_2682414_4336.csv::s2,24,2,1,4,1,0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,0.15384615384615385,0.0,0.23076923076923078
Sitara-1::conversation_2682414_4336.csv::s3,44,44,1,11,1,0.13636363636363635,0.045454545454545456,0.0,0.5454545454545454,0.13636363636363635,0.0,0.13636363636363635
Sitara-1::conversation_2912362_4336.csv::s1,90,90,0,19,1,0.15217391304347827,0.0,0.0,0.8260869565217391,0.15217391304347827,0.021739130434782608,0.2826086956521739
Sitara-1::conversation_3026913_4336.csv::s1,62,28,1,62,0,0.0,0.0,0.0,0.96875,0.40625,0.0,0.40625
Sitara-1::conversation_3027647_4336.csv::s1,100,100,1,46,1,0.08,0.06,0.0,0.84,0.04,0.0,0.18
Sitara-1::conversation_3078083_4336.csv::s1,82,82,1,78,1,0.024390243902439025,0.07317073170731707,0.0,0.9512195121951219,0.36585365853658536,0.024390243902439025,0.07317073170731707
Sitara-1::conversation_3078083_4336.csv::s2,22,22,1,22,0,0.0,0.25,0.4166666666666667,0.5833333333333334,0.25,0.0,0.0
Sitara-1::conversation_3123002_4336.csv::s1,30,30,0,28,1,0.25,0.0,0.0,0.9375,0.1875,0.0,0.125
Sitara-1::conversation_3123002_4336.csv::s2,32,32,1,8,1,0.25,0.0,0.0,0.8125,0.125,0.0,0.25
Sitara-1::conversation_3126894_4336.csv::s1,55,55,1,2,1,0.10344827586206896,0.034482758620689655,0.0,0.896551724137931,0.20689655172413793,0.0,0.13793103448275862
Sitara-1::conversation_3143252_4336.csv::s1,30,30,1,1,1,0.1111111111111111,0.05555555555555555,0.0,0.6111111111111112,0.1111111111111111,0.0,0.16666666666666666
Sitara-1::conversation_3143252_4336.csv::s2,66,66,1,10,1,0.027777777777777776,0.16666666666666666,0.0,0.4722222222222222,0.0,0.0,0.027777777777777776
Sitara-1::conversation_3146919_4336.csv::s1,50,50,1,50,0,0.034482758620689655,0.06896551724137931,0.0,0.5862068965517241,0.10344827586206896,0.0,0.27586206896551724
Sitara-1::conversation_3146919_4336.csv::s2,69,7,1,17,1,0.0,0.175,0.0,0.825,0.075,0.0,0.1
Sitara-1::conversation_3151823_4336.csv::s1,28,3,1,6,1,0.15384615384615385,0.07692307692307693,0.0,1.0,0.0,0.0,0.0
Sitara-1::conversation_3151823_4336.csv::s2,31,4,1,12,1,0.0625,0.0,0.375,0.875,0.0625,0.0,0.125
Sitara-1::conversation_3151823_4336.csv::s3,31,31,1,15,1,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0
Sitara-1::conversation_3152344_4336.csv::s1,23,23,1,16,1,0.0,0.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.16666666666666666
Sitara-1::conversation_3152344_4336.csv::s2,71,71,1,15,1,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.5882352941176471,0.029411764705882353,0.0,0.14705882352941177
Sitara-1::conversation_3188492_4336.csv::s1,17,8,1,1,1,0.0,0.0,0.0,0.75,0.375,0.5,0.0
Sitara-1::conversation_3238192_4336.csv::s1,47,47,1,24,1,0.041666666666666664,0.08333333333333333,0.0,0.75,0.125,0.0,0.20833333333333334
Sitara-1::conversation_3264411_4336.csv::s1,32,26,1,21,1,0.0625,0.0625,0.0,0.625,0.1875,0.0,0.0
Sitara-1::conversation_3264411_4336.csv::s2,31,31,1,12,1,0.0625,0.0,0.1875,0.5,0.125,0.0,0.25
Sitara-1::conversation_3271307_4336.csv::s1,61,61,1,31,1,0.1,0.03333333333333333,0.0,0.9,0.1,0.0,0.0
Sitara-1::conversation_3271307_4336.csv::s2,23,23,1,18,1,0.08333333333333333,0.0,0.5833333333333334,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.0
Sitara-1::conversation_3305426_4336.csv::s1,32,32,1,17,1,0.11764705882352941,0.058823529411764705,0.0,0.7647058823529411,0.23529411764705882,0.0,0.11764705882352941
Sitara-1::conversation_3323468_4336.csv::s1,52,14,1,23,1,0.07142857142857142,0.17857142857142858,0.0,0.6071428571428571,0.03571428571428571,0.0,0.07142857142857142
Sitara-1::conversation_3323468_4336.csv::s2,134,72,1,15,1,0.02857142857142857,0.15714285714285714,0.014285714285714285,0.7142857142857143,0.12857142857142856,0.014285714285714285,0.2
Sitara-1::conversation_3323468_4336.csv::s3,10,1,1,10,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0
Sitara-1::conversation_3323468_4336.csv::s4,28,25,1,28,0,0.14285714285714285,0.0,0.07142857142857142,0.6428571428571429,0.14285714285714285,0.0,0.21428571428571427
Sitara-1::conversation_3355847_4336.csv::s1,141,141,0,19,1,0.04054054054054054,0.0,0.0,0.8243243243243243,0.0945945945945946,0.013513513513513514,0.12162162162162163
Sitara-1::conversation_3355943_4336.csv::s1,81,81,1,79,1,0.07142857142857142,0.023809523809523808,0.0,0.8333333333333334,0.11904761904761904,0.0,0.21428571428571427
Sitara-1::conversation_3370211_4336.csv::s1,61,61,1,31,1,0.08333333333333333,0.0,0.0,0.8333333333333334,0.027777777777777776,0.0,0.3333333333333333
Sitara-1::conversation_3400356_4336.csv::s1,39,39,1,25,1,0.15,0.1,0.0,0.55,0.05,0.0,0.0
Sitara-1::conversation_3400356_4336.csv::s2,78,78,1,4,1,0.15,0.05,0.35,0.725,0.15,0.0,0.2
Sitara-1::conversation_3411029_4336.csv::s1,64,29,1,64,0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.22580645161290322,0.0,0.1935483870967742
