session_id,n_turns,disengage_duration,disengage_event,positive_duration,positive_event,concrete_dated_prediction,specific_open_thread_named,callback_prior_session,callback_within_session,validation,self_correction,reframe,source_group
Human_Astro::conversation_1338879_1953.csv::s1,101,101,1,46,1,0.0,0.0,0.0,0.6976744186046512,0.0,0.023255813953488372,0.06976744186046512,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s10,203,203,1,118,1,0.10416666666666667,0.010416666666666666,0.0,0.07291666666666667,0.125,0.010416666666666666,0.010416666666666666,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s11,92,72,1,92,0,0.16666666666666666,0.0,0.0,0.6190476190476191,0.09523809523809523,0.0,0.07142857142857142,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s12,62,62,0,59,1,0.09090909090909091,0.0,0.0,0.3939393939393939,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s13,17,17,0,16,1,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s14,69,69,0,21,1,0.06060606060606061,0.0,0.06060606060606061,0.42424242424242425,0.09090909090909091,0.0,0.06060606060606061,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s15,22,15,1,22,0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s16,66,66,0,64,1,0.06451612903225806,0.0,0.1935483870967742,0.6451612903225806,0.06451612903225806,0.0,0.22580645161290322,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s2,92,92,1,60,1,0.2,0.02857142857142857,0.0,0.4857142857142857,0.11428571428571428,0.0,0.2571428571428571,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s3,28,28,1,28,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.0,0.3333333333333333,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s4,78,78,0,31,1,0.08108108108108109,0.0,0.02702702702702703,0.6216216216216216,0.10810810810810811,0.0,0.10810810810810811,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s6,39,39,1,39,0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.08333333333333333,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s7,120,4,1,61,1,0.06896551724137931,0.017241379310344827,0.0,0.06896551724137931,0.08620689655172414,0.0,0.1206896551724138,baseline_returned
Human_Astro::conversation_1338879_1953.csv::s8,127,3,1,41,1,0.015625,0.0,0.0,0.65625,0.078125,0.015625,0.3125,baseline_returned
